DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	8q24.11	8	117179236		SLC30A8 - MED30	ENSG00000164756	ENSG00000164758		2522	341477	rs35859536-T	rs35859536	0	35859536	intergenic_variant	1	0.2369	1E-09	9		0.1057	[0.072-0.14] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3p25.2	3	12334457		PPARG			ENSG00000132170			rs2012444-T	rs2012444	0	2012444	intron_variant	0	0.1187	6E-10	9.22184874961636		0.1467	[0.1-0.19] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10p13	10	12265895		CDC123 - RN7SL198P	ENSG00000151465	ENSG00000264036		15306	62237	rs11257655-T	rs11257655	0	11257655	regulatory_region_variant	1	0.2346	9E-08	7.04575749056068		0.0914	[0.058-0.125] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3q21.1	3	123375604		ADCY5			ENSG00000173175			rs2877716-T	rs2877716	0	2877716	intron_variant	0	0.2262	1E-09	9		0.1124	[0.076-0.148] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10q23.33	10	92719350		Y_RNA - EXOC6	ENSG00000252802	ENSG00000138190		8742	107481	rs1112718-A	rs1112718	0	1112718	intergenic_variant	1	0.4485	3E-10	9.52287874528034		0.093	[0.064-0.122] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10q23.33	10	92725454		Y_RNA - EXOC6	ENSG00000252802	ENSG00000138190		14846	101377	rs2497306-A	rs2497306	0	2497306	intergenic_variant	1	0.6589	5E-10	9.30102999566398		0.0959	[0.066-0.126] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10q25.2	10	112998590		TCF7L2			ENSG00000148737			rs7903146-T	rs7903146	0	7903146	intron_variant	0	0.3095	3E-54	53.5228787452803		0.2436	[0.21-0.27] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	11p15.4	11	2836667		KCNQ1			ENSG00000053918			rs234866-A	rs234866	0	234866	intron_variant	0	0.3086	1E-09	9		0.1032	[0.07-0.136] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	17q12	17	37739961		HNF1B			ENSG00000275410			rs10908278-A	rs10908278	0	10908278	intron_variant	0	0.5839	9E-08	7.04575749056068		0.0821	[0.052-0.112] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	20q13.12	20	44373081		HNF4A-AS1, HNF4A			ENSG00000229005, ENSG00000101076			rs4810426-T	rs4810426	0	4810426	intron_variant	0	0.2266	1E-09	9		0.1085	[0.073-0.144] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	20q13.12	20	44367544		HNF4A-AS1, HNF4A			ENSG00000229005, ENSG00000101076			rs13039863-C	rs13039863	0	13039863	intron_variant	0	0.2457	1E-10	10		0.1111	[0.077-0.145] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3p14.3	3	58378923		PXK			ENSG00000168297			rs7432739-T	rs7432739	0	7432739	intron_variant	0	0.6109	6E-06	5.22184874961636		0.0715	[0.041-0.102] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	5q23.2	5	123339520		PRDM6 - CEP120	ENSG00000061455	ENSG00000168944		145254	5370	rs74790763-T	rs74790763	0	74790763	intergenic_variant	1	0.1031	2E-06	5.69897000433602		0.1173	[0.069-0.165] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	8p23.1	8	12765954		LINC03019			ENSG00000254813			rs62486442-A	rs62486442	0	62486442	intergenic_variant	0	0.4151	5E-06	5.30102999566398		0.0785	[0.045-0.112] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	2q24.3	2	164672366		COBLL1			ENSG00000082438			rs13389219-T	rs13389219	0	13389219	intergenic_variant	0	0.2561	1E-07	7		0.0902	[0.057-0.124] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	11p15.4	11	2836667		KCNQ1			ENSG00000053918			rs234866-A	rs234866	0	234866	intron_variant	0	0.3086	2E-09	8.69897000433602		0.1053	[0.071-0.14] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	2q36.3	2	226239001		NYAP2 - MIR5702	ENSG00000144460	ENSG00000263363		509114	419709	rs2138157-A	rs2138157	0	2138157	intergenic_variant	1	0.2376	3E-07	6.52287874528034		0.0886	[0.054-0.123] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	20q13.12	20	44373081		HNF4A-AS1, HNF4A			ENSG00000229005, ENSG00000101076			rs4810426-T	rs4810426	0	4810426	intron_variant	0	0.2266	2E-10	9.69897000433602		0.1186	[0.082-0.155] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	20q13.12	20	44367544		HNF4A-AS1, HNF4A			ENSG00000229005, ENSG00000101076			rs13039863-C	rs13039863	0	13039863	intron_variant	0	0.2457	1E-11	11		0.1213	[0.086-0.156] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	1p36.12	1	20402958		LINC01141			ENSG00000236963			rs10916784-C	rs10916784	0	10916784	intergenic_variant	0	0.4416	3E-06	5.52287874528034		0.0711	[0.041-0.101] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	8p23.1	8	12765954		LINC03019			ENSG00000254813			rs62486442-A	rs62486442	0	62486442	intergenic_variant	0	0.4151	9E-06	5.04575749056068		0.079	[0.044-0.114] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	2q24.3	2	164672366		COBLL1			ENSG00000082438			rs13389219-T	rs13389219	0	13389219	intergenic_variant	0	0.2561	3E-08	7.52287874528034		0.0982	[0.064-0.133] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	2q36.3	2	226236695		NYAP2 - MIR5702	ENSG00000144460	ENSG00000263363		506808	422015	rs2972144-A	rs2972144	0	2972144	intergenic_variant	1	0.2373	4E-08	7.39794000867204		0.0989	[0.064-0.134] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	8q24.11	8	117172786		SLC30A8			ENSG00000164756			rs3802177-A	rs3802177	0	3802177	3_prime_UTR_variant	0	0.2355	2E-09	8.69897000433602		0.104	[0.07-0.138] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3p25.2	3	12351626		PPARG			ENSG00000132170			rs1801282-C	rs1801282	0	1801282	missense_variant	0	0.8764	1E-09	9		0.1409	[0.095-0.186] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	9p21.3	9	22134095		CDKN2B-AS1			ENSG00000240498			rs10811661-T	rs10811661	0	10811661	intergenic_variant	0	0.8628	3E-13	12.5228787452803		0.1599	[0.12-0.2] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3q21.1	3	123363551		ADCY5			ENSG00000173175			rs11717195-T	rs11717195	0	11717195	intron_variant	0	0.7792	5E-09	8.30102999566398		0.1092	[0.073-0.146] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10p13	10	12219853		CDC123			ENSG00000151465			rs12780155-A	rs12780155	0	12780155	intron_variant	0	0.1758	2E-10	9.69897000433602		0.1217	[0.084-0.159] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3q27.2	3	185785668		IGF2BP2			ENSG00000073792			rs6780171-A	rs6780171	0	6780171	intron_variant	0	0.4252	8E-18	17.0969100130081		0.1324	[0.1-0.16] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	6p22.3	6	20687890		CDKAL1			ENSG00000145996			rs10440833-A	rs10440833	0	10440833	intron_variant	0	0.2599	3E-11	10.5228787452803		0.1139	[0.08-0.147] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	6p22.3	6	20686342		CDKAL1			ENSG00000145996			rs7766070-A	rs7766070	0	7766070	intron_variant	0	0.2663	5E-13	12.301029995664		0.123	[0.09-0.156] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	8q24.11	8	117172786		SLC30A8			ENSG00000164756			rs3802177-A	rs3802177	0	3802177	3_prime_UTR_variant	0	0.2355	8E-10	9.09691001300806		0.1103	[0.075-0.146] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	8q24.11	8	117179236		SLC30A8 - MED30	ENSG00000164756	ENSG00000164758		2522	341477	rs35859536-T	rs35859536	0	35859536	intergenic_variant	1	0.2369	5E-10	9.30102999566398		0.1119	[0.077-0.147] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	9p21.3	9	22134095		CDKN2B-AS1			ENSG00000240498			rs10811661-T	rs10811661	0	10811661	intergenic_variant	0	0.8628	3E-13	12.5228787452803		0.1664	[0.12-0.21] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10p13	10	12265895		CDC123 - RN7SL198P	ENSG00000151465	ENSG00000264036		15306	62237	rs11257655-T	rs11257655	0	11257655	regulatory_region_variant	1	0.2346	5E-10	9.30102999566398		0.1101	[0.075-0.145] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10p13	10	12219853		CDC123			ENSG00000151465			rs12780155-A	rs12780155	0	12780155	intron_variant	0	0.1758	3E-12	11.5228787452803		0.1392	[0.1-0.18] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10q23.33	10	92719350		Y_RNA - EXOC6	ENSG00000252802	ENSG00000138190		8742	107481	rs1112718-A	rs1112718	0	1112718	intergenic_variant	1	0.4485	2E-11	10.698970004336		0.1022	[0.072-0.132] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10q23.33	10	92725454		Y_RNA - EXOC6	ENSG00000252802	ENSG00000138190		14846	101377	rs2497306-A	rs2497306	0	2497306	intergenic_variant	1	0.6589	9E-12	11.0457574905607		0.1093	[0.078-0.141] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10q25.2	10	112998590		TCF7L2			ENSG00000148737			rs7903146-T	rs7903146	0	7903146	intron_variant	0	0.3095	8E-59	58.0969100130081		0.2641	[0.23-0.3] increase	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	1p36.12	1	20402958		LINC01141			ENSG00000236963			rs10916784-G	rs10916784	0	10916784	intergenic_variant	0	0.58	5E-12	11.301029995664				NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	2q33.2	2	202585957		BMPR2 - MTCO1P17	ENSG00000204217	ENSG00000223619		18206	28257	rs12463719-A	rs12463719	0	12463719	intergenic_variant	1	0.32	1E-10	10				NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	5q23.2	5	123339520		PRDM6 - CEP120	ENSG00000061455	ENSG00000168944		145254	5370	rs74790763-C	rs74790763	0	74790763	intergenic_variant	1	0.94	3E-11	10.5228787452803				NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	7p14.1	7	40865675		SUGCT - LINC01450	ENSG00000175600	ENSG00000232458		4912	98992	rs73689877-A	rs73689877	0	73689877	intergenic_variant	1	0.12	6E-09	8.22184874961636		1.06	[1.04-1.08]	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	8p23.1	8	8460585		LINC02950			ENSG00000254153			rs2980766-C	rs2980766	0	2980766	intergenic_variant	0	0.48	8E-11	10.0969100130081		1.04	[1.03-1.05]	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	8q22.3	8	104596269		ZFPM2			ENSG00000169946			rs13257283-G	rs13257283	0	13257283	intergenic_variant	0	0.92	4E-08	7.39794000867204		1.07	[1.04-1.09]	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	9q33.3	9	123229794		STRBP			ENSG00000165209			rs2488597-A	rs2488597	0	2488597	intron_variant	0	0.84	3E-09	8.52287874528034		1.05	[1.03-1.07]	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	10q23.2	10	86359258		GRID1			ENSG00000182771			rs2114824-G	rs2114824	0	2114824	intron_variant	0	0.47	5E-08	7.30102999566398		1.03	[1.02-1.04]	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	10q24.1	10	97296433		ARHGAP19 - Metazoa_SRP	ENSG00000213390	ENSG00000255851		3760	857	rs10748694-A	rs10748694	0	10748694	intergenic_variant	1	0.42	2E-10	9.69897000433602		1.04	[1.03-1.05]	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	11q13.5	11	76450345		EMSY			ENSG00000158636			rs7123361-A	rs7123361	0	7123361	intron_variant	0	0.69	1E-08	8		1.04	[1.03-1.05]	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
